<tgt, 127.0.0.1:51354, 26/04/2019 14:27:14, ftgtgygy>
<tgt, 127.0.0.1:51718, 26/04/2019, 15:18:39, Testando >
<tgt, 127.0.0.1:51718, 26/04/2019, 15:18:47, aloaloalolao>
<TGT, 127.0.0.1:51740, 26/04/2019, 15:22:04, hah>
<TGT, 127.0.0.1:51842, 26/04/2019, 15:34:34, Console:UNFOLLOW:1B71>
<TGT, 127.0.0.1:51842, 26/04/2019, 15:34:40, sdcwscwef>
<TGT, 127.0.0.1:51842, 26/04/2019, 15:34:42, sfcsfcef>
<TGT, 127.0.0.1:51844, 26/04/2019, 15:36:16, Console:UNFOLLOW:1B71>
<TGT, 127.0.0.1:51844, 26/04/2019, 15:36:18, Console:UNFOLLOW:1B71>
<TGT, 127.0.0.1:51852, 26/04/2019, 15:39:37, rfrgfvr4v>
<TGT, 127.0.0.1:51852, 26/04/2019, 15:39:39, rtbtbrtbr>
<tgt, 127.0.0.1:52718, 27/04/2019, 20:55:04, alo>
<tgt, 127.0.0.1:52718, 27/04/2019, 20:55:22, hahahha>
<tgt, 127.0.0.1:52718, 27/04/2019, 20:55:22, >
<tgt, 127.0.0.1:52726, 27/04/2019, 20:57:20, k>
<tgt, 127.0.0.1:52726, 27/04/2019, 20:57:22, kk>
<tgt, 127.0.0.1:52726, 27/04/2019, 20:57:23, kkkk>
<tgt, 127.0.0.1:52726, 27/04/2019, 20:57:26, kkkkkk>
<ServidorTipo-Twitter, 0.0.0.0:3322, 05/05/2019, 20:46:48, lalala>
<ServidorTipo-Twitter, 0.0.0.0:3322, 05/05/2019, 20:50:39, oi>
<tgt, 127.0.0.1:63426, 05/05/2019, 20:53:41, ola>
<ServidorTipo-Twitter, 0.0.0.0:3322, 05/05/2019, 20:53:49, olaaaaa>
<tgt, 127.0.0.1:63445, 05/05/2019, 20:55:46, eu sou o outro tgt!>
<tgt, 127.0.0.1:63461, 05/05/2019, 21:00:07, teste1>
<ServidorTipo-Twitter, 0.0.0.0:3322, 05/05/2019, 21:00:51, teste3>
<ServidorTipo-Twitter, 0.0.0.0:3322, 05/05/2019, 21:01:17, oush>
<tgt, 127.0.0.1:63478, 05/05/2019, 21:04:34, 1>
<ServidorTipo-Twitter, 0.0.0.0:3322, 05/05/2019, 21:04:45, 2>
<tgt, 127.0.0.1:63480, 05/05/2019, 21:04:51, 3>
<tgt, 127.0.0.1:63478, 05/05/2019, 21:04:59, 4>
<tgt, 127.0.0.1:63480, 05/05/2019, 21:05:03, 5>
